ProductKey;Product Item Code;Product Sub Category;Product Category;EnglishProductName;ModelName;EnglishDescription;StartDate;EndDate;Product Status
1;AR-5381;NULL;NULL;Adjustable Race;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
2;BA-8327;NULL;NULL;Bearing Ball;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
3;BE-2349;NULL;NULL;BB Ball Bearing;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
4;BE-2908;NULL;NULL;Headset Ball Bearings;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
5;BL-2036;NULL;NULL;Blade;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
6;CA-5965;NULL;NULL;LL Crankarm;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
7;CA-6738;NULL;NULL;ML Crankarm;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
8;CA-7457;NULL;NULL;HL Crankarm;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
9;CB-2903;NULL;NULL;Chainring Bolts;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
10;CN-6137;NULL;NULL;Chainring Nut;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
11;CR-7833;NULL;NULL;Chainring;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
12;CR-9981;NULL;NULL;Crown Race;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
13;CS-2812;NULL;NULL;Chain Stays;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
14;DC-8732;NULL;NULL;Decal 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
15;DC-9824;NULL;NULL;Decal 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
16;DT-2377;NULL;NULL;Down Tube;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
17;EC-M092;NULL;NULL;Mountain End Caps;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
18;EC-R098;NULL;NULL;Road End Caps;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
19;EC-T209;NULL;NULL;Touring End Caps;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
20;FE-3760;NULL;NULL;Fork End;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
21;FH-2981;NULL;NULL;Freewheel;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
22;FW-1000;NULL;NULL;Flat Washer 1;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
23;FW-1200;NULL;NULL;Flat Washer 6;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
24;FW-1400;NULL;NULL;Flat Washer 2;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
25;FW-3400;NULL;NULL;Flat Washer 9;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
26;FW-3800;NULL;NULL;Flat Washer 4;NULL;NULL;2010-07-01 00:00:00.000;NULL;Current
